gr_document,ir_document,po_number,po_line_item,vendor_code,vendor_name,vendor_invoice,gr_amount,ir_amount,difference,tds_amount,gst_diff,gr_posting_date,ir_posting_date,posting_date,company_code,plant,cost_center,gl_account,currency,payment_terms,aging_days,aging_bucket,discrepancy_flag,discrepancy_reason,confidence_score,tfidf_score,status,sap_clearing_doc,error_msg
5000100112,5100200116,4500100112,0040,1000015,ABB India Limited,ABB LIMITED,2545757.66,2545747.66,-10.0,0.0,0.0,2025-02-04 00:00:00,2025-03-25 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400500,INR,NT60,55,31-60 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",90.5,0.7905,CLEARED,19037612404,
5000100113,5100200117,4500100113,0040,1000008,Hexaware Technologies Ltd,Hexaware Technologies,8624470.88,8624460.88,-10.0,0.0,0.0,2025-01-01 00:00:00,2025-01-31 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400200,INR,NT60,89,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19093207577,
5000100114,5100200118,4500100114,0040,1000004,HCL Technologies Ltd,HCL Technologies Ltd,1156271.47,1156271.47,0.0,0.0,0.0,2025-03-16 00:00:00,2025-04-22 00:00:00,2026-04-29,1000,1002,CC-MFG-005,400400,INR,IMMED,15,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19005230405,
5000100116,5100200121,4500100116,0010,1000020,SAP India Pvt Ltd,SAP INDIA PVT LTD,868034.58,868034.83,0.25,0.0,0.0,2024-12-25 00:00:00,2025-01-13 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400400,INR,NT60,96,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19094978462,
5000100118,5100200123,4500100118,0050,1000005,Larsen & Toubro Infotech Ltd,Larsen & Toubro Infotech Ltd,58943.35,58943.35,0.0,0.0,0.0,2025-01-21 00:00:00,2025-02-23 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400300,USD,IMMED,69,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19028102439,
5000100120,5100200125,4500100120,0020,1000013,Asian Paints Ltd,Asian Paints Ltd.,241312.14,241312.64,0.5,0.0,0.0,2024-10-25 00:00:00,2024-12-05 00:00:00,2026-04-29,1000,1001,CC-IT-002,400400,INR,NT30,157,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19075286044,
5000100122,5100200127,4500100122,0030,1000016,Bosch Limited,Bosch Ltd,1283420.53,1283421.53,1.0,0.0,0.0,2024-12-02 00:00:00,2024-12-15 00:00:00,2026-04-29,1000,1001,CC-IT-002,400200,INR,IMMED,119,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19088459783,
5000100123,5100200128,4500100123,0040,1000002,Infosys Limited,Infosys Technologies,1395804.76,1395804.75,-0.01,0.0,0.0,2024-10-18 00:00:00,2024-11-19 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400100,INR,NT15,164,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,86.6,0.6348,CLEARED,19097917465,
5000100125,5100200130,4500100125,0030,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,82863.7,82863.7,0.0,0.0,0.0,2024-12-29 00:00:00,2025-02-06 00:00:00,2026-04-29,1000,1001,CC-IT-002,400400,USD,IMMED,92,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19014021975,
5000100126,5100200131,4500100126,0010,1000012,Ultratech Cement Ltd,Ultratech Cement Ltd,69259.27,69259.27,0.0,0.0,0.0,2024-12-17 00:00:00,2024-12-21 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400500,GBP,NT15,104,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19073915415,
5000100127,5100200132,4500100127,0050,1000010,Tata Steel Limited,Tata Steel Limited,423360.35,423360.35,0.0,0.0,0.0,2025-03-05 00:00:00,2025-03-28 00:00:00,2026-04-29,1000,1004,CC-HR-004,400100,INR,NT30,26,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19081237640,
5000100128,5100200133,4500100128,0010,1000010,Tata Steel Limited,Tata Steel Ltd,26970.25,26970.25,0.0,0.0,0.0,2025-03-15 00:00:00,2025-05-29 00:00:00,2026-04-29,1000,1002,CC-HR-004,400200,EUR,NT15,16,0-30 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,94.0,1.0,CLEARED,19015220668,
5000100129,5100200134,4500100129,0020,1000004,HCL Technologies Ltd,HCL Technologies Ltd,8381875.69,8381875.69,0.0,0.0,0.0,2025-01-22 00:00:00,2025-02-17 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400100,INR,NT30,68,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19095770512,
5000100130,5100200135,4500100130,0030,1000020,SAP India Pvt Ltd,SAP India Ltd,272974.77,272975.77,1.0,0.0,0.0,2025-03-14 00:00:00,2025-04-14 00:00:00,2026-04-29,1000,1004,CC-IT-002,400300,INR,NT30,17,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19041972955,
5000100131,5100200136,4500100131,0010,1000011,JSW Steel Ltd,J.S.W. Steel Ltd,413514.24,413514.74,0.5,0.0,0.0,2024-11-15 00:00:00,2024-12-11 00:00:00,2026-04-29,1000,1002,CC-HR-004,400200,INR,NT30,136,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,87.9,0.606,CLEARED,19035730918,
5000100132,5100200137,4500100132,0050,1000012,Ultratech Cement Ltd,Ultratech Cement,106526.85,106526.84,-0.01,0.0,0.0,2025-01-22 00:00:00,2025-02-20 00:00:00,2026-04-29,1000,1002,CC-OPS-003,400100,INR,NT15,68,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19026933634,
5000100133,5100200138,4500100133,0040,1000020,SAP India Pvt Ltd,SAP India,198847.72,198847.71,-0.01,0.0,0.0,2025-01-22 00:00:00,2025-03-16 00:00:00,2026-04-29,1000,1003,CC-IT-002,400100,INR,IMMED,68,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19009995367,
5000100134,5100200139,4500100134,0050,1000014,Siemens Ltd,Siemens India Ltd,1365027.9,1365017.9,-10.0,0.0,0.0,2024-10-23 00:00:00,2024-11-06 00:00:00,2026-04-29,1000,1003,CC-IT-002,400400,INR,NT45,159,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",94.6,0.8737,CLEARED,19094856347,
5000100137,5100200142,4500100137,0050,1000010,Tata Steel Limited,Tata Steel Limited,3161228.26,3161228.26,0.0,0.0,0.0,2025-01-05 00:00:00,2025-02-25 00:00:00,2026-04-29,1000,1003,CC-FIN-001,400400,INR,NT45,85,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19025833861,
5000100139,5100200144,4500100139,0030,1000005,Larsen & Toubro Infotech Ltd,L&T Infotech,53502.3,53502.31,0.01,0.0,0.0,2024-11-14 00:00:00,2024-12-21 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400500,USD,NT45,137,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,82.7,0.4776,CLEARED,19037020786,
5000100140,5100200145,4500100140,0050,1000011,JSW Steel Ltd,JSW Steel Limited,1935149.69,1935149.68,-0.01,0.0,0.0,2024-10-13 00:00:00,2024-11-16 00:00:00,2026-04-29,1000,1001,CC-HR-004,400200,INR,NT30,169,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19093700617,
5000100141,5100200146,4500100141,0050,1000008,Hexaware Technologies Ltd,Hexaware Tech Ltd,9912639.25,9912639.26,0.01,0.0,0.0,2025-03-12 00:00:00,2025-03-31 00:00:00,2026-04-29,1000,1002,CC-IT-002,400300,INR,NT15,19,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,90.8,0.7234,CLEARED,19003884071,
5000100142,5100200147,4500100142,0050,1000016,Bosch Limited,Robert Bosch,1819563.72,1819564.22,0.5,0.0,0.0,2024-10-12 00:00:00,2024-11-09 00:00:00,2026-04-29,1000,1004,CC-HR-004,400300,INR,NT15,170,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,87.4,0.5848,CLEARED,19036157564,
5000100143,5100200148,4500100143,0020,1000010,Tata Steel Limited,Tata Steel,4042149.44,4042148.44,-1.0,0.0,0.0,2024-10-16 00:00:00,2024-11-03 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400200,INR,NT30,166,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19044971169,
5000100144,5100200149,4500100144,0020,1000017,Havells India Ltd,Havells,2758083.62,2758084.12,0.5,0.0,0.0,2025-03-04 00:00:00,2025-04-27 00:00:00,2026-04-29,1000,1004,CC-HR-004,400200,INR,IMMED,27,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,92.9,0.8851,CLEARED,19054053848,
5000100145,5100200150,4500100145,0050,1000010,Tata Steel Limited,Tata Steel Ltd,3399923.72,3399921.72,-2.0,0.0,0.0,2025-01-22 00:00:00,2025-01-28 00:00:00,2026-04-29,1000,1004,CC-MFG-005,400100,INR,NT60,68,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19060289281,
5000100146,5100200151,4500100146,0010,1000014,Siemens Ltd,Siemens India,2105806.33,2105806.83,0.5,0.0,0.0,2025-02-18 00:00:00,2025-04-19 00:00:00,2026-04-29,1000,1002,CC-MFG-005,400400,INR,NT30,41,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,92.6,0.8737,CLEARED,19077923460,
5000100149,5100200154,4500100149,0050,1000006,Tech Mahindra Limited,TechMahindra,436804.34,428068.25,-8736.09,8736.09,0.0,2025-02-26 00:00:00,2025-03-17 00:00:00,2026-04-29,1000,1001,CC-IT-002,400100,INR,NT30,33,31-60 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),80.2,0.75,CLEARED,19085883313,
5000100150,5100200155,4500100150,0030,1000005,Larsen & Toubro Infotech Ltd,Larsen & Toubro Infotech Ltd,1171776.89,1171776.89,0.0,0.0,0.0,2025-02-09 00:00:00,2025-02-10 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400300,INR,NT15,50,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19005811049,
5000100151,5100200156,4500100151,0010,1000004,HCL Technologies Ltd,HCL Technologies Ltd,8314653.09,8314653.09,0.0,0.0,0.0,2024-11-14 00:00:00,2024-11-27 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400200,INR,NT30,137,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19034783798,
5000100154,5100200159,4500100154,0030,1000019,Oracle India Pvt Ltd,Oracle Ind,2113443.09,2113438.09,-5.0,0.0,0.0,2024-10-09 00:00:00,2024-11-12 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400100,INR,IMMED,173,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",90.8,0.8039,CLEARED,19011651392,
5000100155,5100200160,4500100155,0020,1000012,Ultratech Cement Ltd,UltraTech Cement Ltd,47852.47,47852.97,0.5,0.0,0.0,2025-01-23 00:00:00,2025-03-10 00:00:00,2026-04-29,1000,1003,CC-HR-004,400400,USD,NT60,67,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19007713350,
5000100156,5100200161,4500100156,0030,1000002,Infosys Limited,INFOSYS LIMITED,1745800.84,1745810.84,10.0,0.0,0.0,2025-01-02 00:00:00,2025-02-25 00:00:00,2026-04-29,1000,1001,CC-IT-002,400200,INR,IMMED,88,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19008371068,
5000100157,5100200162,4500100157,0030,1000008,Hexaware Technologies Ltd,Hexaware Technologies Ltd,6281246.03,6281246.03,0.0,0.0,0.0,2025-03-18 00:00:00,2025-04-14 00:00:00,2026-04-29,1000,1004,CC-FIN-001,400200,INR,NT60,13,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19045017549,
5000100161,5100200166,4500100161,0030,1000008,Hexaware Technologies Ltd,Hexaware Tech Ltd,83241.23,83241.48,0.25,0.0,0.0,2025-01-31 00:00:00,2025-02-22 00:00:00,2026-04-29,1000,1001,CC-OPS-003,400400,USD,NT45,59,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,90.8,0.7234,CLEARED,19060346889,
5000100162,5100200167,4500100162,0040,1000019,Oracle India Pvt Ltd,Oracle India,914825.23,896528.73,-18296.5,18296.5,0.0,2025-03-13 00:00:00,2025-03-30 00:00:00,2026-04-29,1000,1001,CC-OPS-003,400300,INR,NT60,18,0-30 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),92.8,1.0,CLEARED,19055614412,
5000100163,5100200168,4500100163,0010,1000020,SAP India Pvt Ltd,SAP India Private Ltd,2131064.44,2131062.44,-2.0,0.0,0.0,2025-03-06 00:00:00,2025-03-17 00:00:00,2026-04-29,1000,1003,CC-MFG-005,400400,INR,NT15,25,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",87.8,0.6034,CLEARED,19058157165,
5000100165,5100200170,4500100165,0030,1000005,Larsen & Toubro Infotech Ltd,L&T Infotech,47814.13,47814.13,0.0,0.0,0.0,2024-11-26 00:00:00,2025-02-04 00:00:00,2026-04-29,1000,1002,CC-HR-004,400100,GBP,NT45,125,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,80.9,0.4776,CLEARED,19023581617,
5000100166,5100200171,4500100166,0020,1000008,Hexaware Technologies Ltd,Hexaware Tech Ltd,993692.91,993687.91,-5.0,0.0,0.0,2025-02-12 00:00:00,2025-03-01 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400300,INR,NT60,47,31-60 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",90.8,0.7234,CLEARED,19041073469,
5000100167,5100200172,4500100167,0030,1000007,Mphasis Limited,Mphasis Corp,97701.12,97701.37,0.25,0.0,0.0,2024-12-05 00:00:00,2025-01-14 00:00:00,2026-04-29,1000,1001,CC-HR-004,400100,INR,IMMED,116,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19080649688,
5000100168,5100200173,4500100168,0030,1000016,Bosch Limited,Bosch Ltd,31855.19,31855.19,0.0,0.0,0.0,2024-11-28 00:00:00,2025-02-13 00:00:00,2026-04-29,1000,1002,CC-OPS-003,400300,USD,NT60,123,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,94.0,1.0,CLEARED,19001340181,
5000100169,5100200174,4500100169,0020,1000015,ABB India Limited,ABB India,1481913.58,1467094.44,-14819.14,14819.14,0.0,2024-12-05 00:00:00,2024-12-18 00:00:00,2026-04-29,1000,1002,CC-HR-004,400100,INR,IMMED,116,>90 Days (Critical),TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),92.8,1.0,CLEARED,19064298662,
5000100170,5100200175,4500100170,0030,1000017,Havells India Ltd,Havells India Limited,69601.41,69601.42,0.01,0.0,0.0,2024-12-08 00:00:00,2024-12-10 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400100,USD,IMMED,113,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19032552516,
5000100173,5100200178,4500100173,0030,1000018,Bharat Electronics Ltd,BEL Limited,570673.39,570673.89,0.5,0.0,0.0,2024-12-07 00:00:00,2024-12-29 00:00:00,2026-04-29,1000,1001,CC-HR-004,400300,INR,NT45,114,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19005826378,
5000100174,5100200179,4500100174,0030,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,95935.34,95935.34,0.0,0.0,0.0,2024-10-15 00:00:00,2024-12-01 00:00:00,2026-04-29,1000,1002,CC-MFG-005,400500,USD,NT15,167,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19016791707,
5000100175,5100200180,4500100175,0030,1000018,Bharat Electronics Ltd,BHARAT ELECTRONICS LTD,1304447.86,1304448.86,1.0,0.0,0.0,2024-12-06 00:00:00,2024-12-21 00:00:00,2026-04-29,1000,1002,CC-IT-002,400400,INR,IMMED,115,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19073817363,
5000100176,5100200181,4500100176,0020,1000007,Mphasis Limited,MPHASIS LIMITED,439734.5,439734.5,0.0,0.0,0.0,2025-01-29 00:00:00,2025-05-18 00:00:00,2026-04-29,1000,1001,CC-OPS-003,400300,INR,IMMED,61,61-90 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,91.0,1.0,CLEARED,19028026628,
5000100178,5100200183,4500100178,0050,1000009,Reliance Industries Ltd,RIL,256370.24,251242.84,-5127.4,5127.4,0.0,2025-03-21 00:00:00,2025-04-16 00:00:00,2026-04-29,1000,1003,CC-IT-002,400500,INR,IMMED,10,0-30 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),92.8,1.0,CLEARED,19087912654,
5000100180,5100200185,4500100180,0020,1000001,Tata Consultancy Services Ltd,Tata Consultancy Services Ltd,1546554.29,1546554.29,0.0,0.0,0.0,2024-11-15 00:00:00,2024-12-12 00:00:00,2026-04-29,1000,1001,CC-FIN-001,400400,INR,NT60,136,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19063776506,
5000100181,5100200186,4500100181,0050,1000012,Ultratech Cement Ltd,Ultratech Cement Ltd,4691348.62,4691348.62,0.0,0.0,0.0,2024-10-05 00:00:00,2024-10-20 00:00:00,2026-04-29,1000,1004,CC-HR-004,400100,INR,NT60,177,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,99.0,1.0,CLEARED,19000670700,
5000100182,5100200187,4500100182,0010,1000002,Infosys Limited,Infosys Technologies,213912.29,213913.29,1.0,0.0,0.0,2025-01-17 00:00:00,2025-02-05 00:00:00,2026-04-29,1000,1001,CC-HR-004,400100,INR,NT30,73,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",88.6,0.6348,CLEARED,19086639172,
5000100183,5100200188,4500100183,0010,1000011,JSW Steel Ltd,JSW Steel Limited,3161586.89,3161586.9,0.01,0.0,0.0,2025-02-27 00:00:00,2025-03-30 00:00:00,2026-04-29,1000,1004,CC-HR-004,400100,INR,NT45,32,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19056299773,
5000100184,5100200189,4500100184,0030,1000010,Tata Steel Limited,Tata Steel,689627.13,689627.13,0.0,0.0,0.0,2025-01-12 00:00:00,2025-04-06 00:00:00,2026-04-29,1000,1002,CC-FIN-001,400300,INR,NT15,78,61-90 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,94.0,1.0,CLEARED,19002672498,
5000100186,5100200191,4500100186,0010,1000002,Infosys Limited,Infosys Technologies,41520.62,41520.62,0.0,0.0,0.0,2024-12-08 00:00:00,2025-03-02 00:00:00,2026-04-29,1000,1002,CC-IT-002,400400,USD,NT45,113,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,84.9,0.6348,CLEARED,19026901896,
5000100188,5100200193,4500100188,0010,1000008,Hexaware Technologies Ltd,Hexaware Tech Ltd,376886.05,376885.8,-0.25,0.0,0.0,2024-11-09 00:00:00,2024-12-26 00:00:00,2026-04-29,1000,1004,CC-IT-002,400300,INR,NT45,142,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,88.8,0.7234,CLEARED,19042078880,
5000100189,5100200194,4500100189,0050,1000005,Larsen & Toubro Infotech Ltd,Larsen Toubro Infotech,56796.89,56796.88,-0.01,0.0,0.0,2025-01-25 00:00:00,2025-02-10 00:00:00,2026-04-29,1000,1003,CC-IT-002,400200,USD,NT45,65,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,97.8,1.0,CLEARED,19035338307,
5000100190,5100200195,4500100190,0040,1000006,Tech Mahindra Limited,Tech-Mahindra Limited,462396.08,457772.12,-4623.96,4623.96,0.0,2025-01-10 00:00:00,2025-02-10 00:00:00,2026-04-29,1000,1001,CC-IT-002,400500,INR,NT60,80,61-90 Days,TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),90.8,1.0,CLEARED,19032635920,
5000100192,5100200197,4500100192,0050,1000016,Bosch Limited,Robert Bosch,74905.22,74905.22,0.0,0.0,0.0,2024-11-28 00:00:00,2025-03-09 00:00:00,2026-04-29,1000,1004,CC-IT-002,400100,USD,NT60,123,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,80.6,0.5848,CLEARED,19082026091,
5000100193,5100200198,4500100193,0040,1000012,Ultratech Cement Ltd,Ultratech Cement,25529.38,25539.38,10.0,0.0,0.0,2024-11-16 00:00:00,2024-12-16 00:00:00,2026-04-29,1000,1003,CC-OPS-003,400400,GBP,NT60,135,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",97.8,1.0,CLEARED,19020908796,
5000100194,5100200199,4500100194,0040,1000007,Mphasis Limited,Mphasis Ltd,159009.3,159014.3,5.0,0.0,0.0,2024-11-22 00:00:00,2025-01-09 00:00:00,2026-04-29,1000,1001,CC-IT-002,400200,INR,IMMED,129,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",95.8,1.0,CLEARED,19016482013,
5000100195,5100200200,4500100195,0030,1000002,Infosys Limited,Infosys Technologies,8918272.01,8918282.01,10.0,0.0,0.0,2025-01-18 00:00:00,2025-02-25 00:00:00,2026-04-29,1000,1002,CC-OPS-003,400300,INR,NT60,72,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",86.6,0.6348,CLEARED,19014760351,
5000100196,5100200201,4500100196,0030,1000015,ABB India Limited,A.B.B. India,1508911.63,1508912.63,1.0,0.0,0.0,2025-02-17 00:00:00,2025-04-01 00:00:00,2026-04-29,1000,1002,CC-HR-004,400200,INR,NT15,42,31-60 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",82.5,0.4709,CLEARED,19009997115,
5000100197,5100200202,4500100197,0020,1000005,Larsen & Toubro Infotech Ltd,Larsen & Toubro Infotech Ltd,1059905.41,1059905.41,0.0,0.0,0.0,2025-01-13 00:00:00,2025-03-04 00:00:00,2026-04-29,1000,1004,CC-IT-002,400200,INR,NT60,77,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,97.0,1.0,CLEARED,19095697691,
5000100199,5100200204,4500100199,0030,1000007,Mphasis Limited,Mphasis Corporation,7944262.95,7944262.7,-0.25,0.0,0.0,2025-01-21 00:00:00,2025-03-06 00:00:00,2026-04-29,1000,1004,CC-OPS-003,400100,INR,NT60,69,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,95.8,1.0,CLEARED,19099793883,
5000100200,5100200205,4500100200,0050,1000012,Ultratech Cement Ltd,UltraTech Cement Ltd,1672292.32,1588677.7,-83614.62,83614.62,0.0,2025-01-07 00:00:00,2025-01-09 00:00:00,2026-04-29,1000,1002,CC-OPS-003,400500,INR,NT60,83,61-90 Days,TDS DEDUCTED,TDS @ 5.0% deducted on payment (Sec 194C/194J),80.2,1.0,CLEARED,19073997642,
