Sr No,Company Code,Purchase Org,PO Number,PO Line Item,PO Type,Material/Service,Vendor Code,Vendor Short Name,Vendor Sector,GR Document No,GR Posting Date,GR Fiscal Year,GR Quantity,GR Amount,GR Vendor Name (SAP),IR Document No,IR Posting Date,IR Amount,IR Vendor Name (Invoice),TDS Amount,GST Diff Amount,Difference (IR-GR),Currency,Plant,Cost Center,GL Account,Payment Terms,Aging (Days),Aging Bucket,Discrepancy Flag,Discrepancy Reason,Manual Action,Reviewer,Review Date,Remarks,tfidf_vendor_score,vendor_match_quality,confidence_score,score_po,score_vendor,score_amount,score_date,score_currency,decision
88,1000,2000,4500100088,0030,ZNB,Spare Parts Supply,1000017,HAVL,Electrical,5000100088,2024-10-24,2024,115.036,1959247.71,Havells India Ltd,5100200090,2024-10-25,1959245.71,Havells India,0.0,0.0,-2.0,INR,1003,CC-OPS-003,400400,NT60,158,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
89,1000,2000,4500100089,0020,ZNB,Chemical Compounds,1000012,ULTC,Manufacturing,5000100089,2025-01-31,2025,77.192,4034559.64,Ultratech Cement Ltd,5100200091,2025-03-03,4034559.14,UltraTech Cement Ltd,0.0,0.0,-0.5,INR,1002,CC-IT-002,400400,NT30,59,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
90,1000,2000,4500100090,0010,ZNB,IT Consulting Services,1000004,HCLT,IT Services,5000100090,2025-03-03,2025,184.542,68503.31,HCL Technologies Ltd,5100200092,2025-04-25,68508.31,HCL Technologies Limited,0.0,0.0,5.0,INR,1002,CC-HR-004,400300,IMMED,28,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
92,1000,2000,4500100092,0020,ZSER,Data Migration Services,1000006,TECHM,IT Services,5000100092,2025-03-20,2025,102.765,6125468.21,Tech Mahindra Limited,5100200095,2025-04-11,6125468.21,Tech Mahindra Limited,0.0,0.0,0.0,INR,1001,CC-HR-004,400500,NT45,11,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
94,1000,2000,4500100094,0050,NB,Software License Fee,1000001,TCSL,IT Services,5000100094,2025-02-14,2025,124.764,31854.64,Tata Consultancy Services Ltd,5100200098,2025-04-04,31854.14,Tata Consultancy Services,0.0,0.0,-0.5,EUR,1002,CC-OPS-003,400200,NT30,45,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
96,1000,2000,4500100096,0050,ZNB,Packaging Material,1000013,ASPNT,Manufacturing,5000100096,2025-03-26,2025,20.041,415119.01,Asian Paints Ltd,5100200100,2025-05-13,415119.26,ASIAN PAINTS,0.0,0.0,0.25,INR,1002,CC-FIN-001,400200,IMMED,5,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
97,1000,2000,4500100097,0010,ZSER,Raw Material Supply,1000013,ASPNT,Manufacturing,5000100097,2025-03-18,2025,37.306,556718.16,Asian Paints Ltd,5100200101,2025-03-31,556717.91,Asian Paint,0.0,0.0,-0.25,INR,1004,CC-MFG-005,400400,NT45,13,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.8371,MEDIUM,93.7,35.0,20.9,23.8,9.0,5.0,AUTO-CLEAR
99,1000,1000,4500100099,0020,ZSER,Chemical Compounds,1000009,RIL,Manufacturing,5000100099,2024-12-04,2024,148.455,4393302.18,Reliance Industries Ltd,5100200103,2024-12-19,4393301.68,RIL,0.0,0.0,-0.5,INR,1001,CC-MFG-005,400200,IMMED,117,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
100,1000,2000,4500100100,0020,NB,Cement Bags 50kg,1000013,ASPNT,Manufacturing,5000100100,2024-12-23,2024,5.53,2368530.04,Asian Paints Ltd,5100200104,2025-03-18,2368530.04,Asian Paint,0.0,0.0,0.0,INR,1002,CC-MFG-005,400300,NT30,98,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,0.8371,MEDIUM,89.9,35.0,20.9,25.0,4.0,5.0,AUTO-CLEAR
101,1000,1000,4500100101,0050,ZSER,Annual Maintenance Contract,1000004,HCLT,IT Services,5000100101,2024-12-23,2024,140.665,325386.97,HCL Technologies Ltd,5100200105,2025-01-02,325387.97,HCL TECHNOLOGIES,0.0,0.0,1.0,INR,1003,CC-MFG-005,400100,NT30,98,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
102,1000,2000,4500100102,0040,ZNB,Cloud Hosting Charges,1000001,TCSL,IT Services,5000100102,2024-12-18,2024,140.089,19404.24,Tata Consultancy Services Ltd,5100200106,2025-01-16,19399.24,Tata Consultancy Services,0.0,0.0,-5.0,GBP,1001,CC-OPS-003,400400,NT45,103,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
103,1000,1000,4500100103,0020,ZNB,Cement Bags 50kg,1000013,ASPNT,Manufacturing,5000100103,2025-01-17,2025,66.958,2240519.88,Asian Paints Ltd,5100200107,2025-02-12,2195709.48,Asian Paint,44810.4,0.0,-44810.4,INR,1004,CC-FIN-001,400300,NT15,73,61-90 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,,0.8371,MEDIUM,82.4,35.0,20.9,12.5,9.0,5.0,AUTO-CLEAR
105,1000,1000,4500100105,0020,ZNB,ERP Implementation Services,1000004,HCLT,IT Services,5000100105,2025-03-10,2025,52.884,1371714.46,HCL Technologies Ltd,5100200109,2025-04-14,1371714.21,HCL Tech Ltd,0.0,0.0,-0.25,INR,1003,CC-FIN-001,400300,NT30,21,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.5577,LOW,84.7,35.0,13.9,23.8,7.0,5.0,AUTO-CLEAR
106,1000,1000,4500100106,0010,ZNB,Annual Maintenance Contract,1000002,INFY,IT Services,5000100106,2025-03-01,2025,137.717,176488.27,Infosys Limited,5100200110,2025-06-26,176488.27,INFOSYS LIMITED,0.0,0.0,0.0,INR,1003,CC-HR-004,400200,NT30,30,0-30 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,91.0,35.0,25.0,25.0,1.0,5.0,AUTO-CLEAR
107,1000,2000,4500100107,0010,ZSER,Cloud Hosting Charges,1000007,MPHL,IT Services,5000100107,2025-02-07,2025,156.534,1289593.45,Mphasis Limited,5100200111,2025-04-14,1289593.45,MPHASIS LIMITED,0.0,0.0,0.0,INR,1003,CC-IT-002,400500,NT15,52,31-60 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,94.0,35.0,25.0,25.0,4.0,5.0,AUTO-CLEAR
111,1000,1000,4500100111,0050,ZSER,Software License Fee,1000008,HEXW,IT Services,5000100111,2025-03-16,2025,39.814,1214058.11,Hexaware Technologies Ltd,5100200115,2025-05-10,1214058.12,HEXAWARE LIMITED,0.0,0.0,0.01,INR,1001,CC-IT-002,400500,IMMED,15,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.6901,MEDIUM,88.0,35.0,17.3,23.8,7.0,5.0,AUTO-CLEAR
112,1000,1000,4500100112,0040,ZSER,Electrical Equipment,1000015,ABB,Engineering,5000100112,2025-02-04,2025,55.189,2545757.66,ABB India Limited,5100200116,2025-03-25,2545747.66,ABB LIMITED,0.0,0.0,-10.0,INR,1003,CC-OPS-003,400500,NT60,55,31-60 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.7905,MEDIUM,90.5,35.0,19.8,23.8,7.0,5.0,AUTO-CLEAR
113,1000,2000,4500100113,0040,ZNB,ERP Implementation Services,1000008,HEXW,IT Services,5000100113,2025-01-01,2025,189.831,8624470.88,Hexaware Technologies Ltd,5100200117,2025-01-31,8624460.88,Hexaware Technologies,0.0,0.0,-10.0,INR,1004,CC-MFG-005,400200,NT60,89,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
114,1000,1000,4500100114,0040,NB,Network Support Services,1000004,HCLT,IT Services,5000100114,2025-03-16,2025,158.952,1156271.47,HCL Technologies Ltd,5100200118,2025-04-22,1156271.47,HCL Technologies Ltd,0.0,0.0,0.0,INR,1002,CC-MFG-005,400400,IMMED,15,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
116,1000,2000,4500100116,0010,NB,Mechanical Parts,1000020,SAPI,Software,5000100116,2024-12-25,2024,45.791,868034.58,SAP India Pvt Ltd,5100200121,2025-01-13,868034.83,SAP INDIA PVT LTD,0.0,0.0,0.25,INR,1001,CC-FIN-001,400400,NT60,96,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
118,1000,2000,4500100118,0050,ZSER,Network Support Services,1000005,LTI,IT Services,5000100118,2025-01-21,2025,73.507,58943.35,Larsen & Toubro Infotech Ltd,5100200123,2025-02-23,58943.35,Larsen & Toubro Infotech Ltd,0.0,0.0,0.0,USD,1004,CC-MFG-005,400300,IMMED,69,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
120,1000,2000,4500100120,0020,ZSER,Chemical Compounds,1000013,ASPNT,Manufacturing,5000100120,2024-10-25,2024,158.579,241312.14,Asian Paints Ltd,5100200125,2024-12-05,241312.64,Asian Paints Ltd.,0.0,0.0,0.5,INR,1001,CC-IT-002,400400,NT30,157,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
122,1000,2000,4500100122,0030,ZSER,Spare Parts Supply,1000016,BSCH,Engineering,5000100122,2024-12-02,2024,124.271,1283420.53,Bosch Limited,5100200127,2024-12-15,1283421.53,Bosch Ltd,0.0,0.0,1.0,INR,1001,CC-IT-002,400200,IMMED,119,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
123,1000,1000,4500100123,0040,ZSER,Software License Fee,1000002,INFY,IT Services,5000100123,2024-10-18,2024,18.425,1395804.76,Infosys Limited,5100200128,2024-11-19,1395804.75,Infosys Technologies,0.0,0.0,-0.01,INR,1001,CC-FIN-001,400100,NT15,164,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.6348,MEDIUM,86.6,35.0,15.9,23.8,7.0,5.0,AUTO-CLEAR
125,1000,1000,4500100125,0030,ZSER,Data Migration Services,1000001,TCSL,IT Services,5000100125,2024-12-29,2024,95.83,82863.7,Tata Consultancy Services Ltd,5100200130,2025-02-06,82863.7,Tata Consultancy Services Ltd,0.0,0.0,0.0,USD,1001,CC-IT-002,400400,IMMED,92,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
126,1000,1000,4500100126,0010,ZSER,Chemical Compounds,1000012,ULTC,Manufacturing,5000100126,2024-12-17,2024,37.951,69259.27,Ultratech Cement Ltd,5100200131,2024-12-21,69259.27,Ultratech Cement Ltd,0.0,0.0,0.0,GBP,1003,CC-OPS-003,400500,NT15,104,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
127,1000,1000,4500100127,0050,ZSER,Chemical Compounds,1000010,TATST,Manufacturing,5000100127,2025-03-05,2025,165.007,423360.35,Tata Steel Limited,5100200132,2025-03-28,423360.35,Tata Steel Limited,0.0,0.0,0.0,INR,1004,CC-HR-004,400100,NT30,26,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
128,1000,1000,4500100128,0010,ZSER,Industrial Chemicals,1000010,TATST,Manufacturing,5000100128,2025-03-15,2025,41.595,26970.25,Tata Steel Limited,5100200133,2025-05-29,26970.25,Tata Steel Ltd,0.0,0.0,0.0,EUR,1002,CC-HR-004,400200,NT15,16,0-30 Days,TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,94.0,35.0,25.0,25.0,4.0,5.0,AUTO-CLEAR
129,1000,1000,4500100129,0020,NB,IT Consulting Services,1000004,HCLT,IT Services,5000100129,2025-01-22,2025,185.26,8381875.69,HCL Technologies Ltd,5100200134,2025-02-17,8381875.69,HCL Technologies Ltd,0.0,0.0,0.0,INR,1004,CC-OPS-003,400100,NT30,68,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
130,1000,1000,4500100130,0030,NB,Equipment Maintenance,1000020,SAPI,Software,5000100130,2025-03-14,2025,122.65,272974.77,SAP India Pvt Ltd,5100200135,2025-04-14,272975.77,SAP India Ltd,0.0,0.0,1.0,INR,1004,CC-IT-002,400300,NT30,17,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
131,1000,2000,4500100131,0010,ZSER,Cement Bags 50kg,1000011,JSWS,Manufacturing,5000100131,2024-11-15,2024,124.441,413514.24,JSW Steel Ltd,5100200136,2024-12-11,413514.74,J.S.W. Steel Ltd,0.0,0.0,0.5,INR,1002,CC-HR-004,400200,NT30,136,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.606,LOW,87.9,35.0,15.2,23.8,9.0,5.0,AUTO-CLEAR
132,1000,1000,4500100132,0050,ZSER,Industrial Chemicals,1000012,ULTC,Manufacturing,5000100132,2025-01-22,2025,157.563,106526.85,Ultratech Cement Ltd,5100200137,2025-02-20,106526.84,Ultratech Cement,0.0,0.0,-0.01,INR,1002,CC-OPS-003,400100,NT15,68,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
133,1000,2000,4500100133,0040,NB,Control Panel Supply,1000020,SAPI,Software,5000100133,2025-01-22,2025,47.974,198847.72,SAP India Pvt Ltd,5100200138,2025-03-16,198847.71,SAP India,0.0,0.0,-0.01,INR,1003,CC-IT-002,400100,IMMED,68,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
134,1000,2000,4500100134,0050,ZNB,Control Panel Supply,1000014,SIEM,Engineering,5000100134,2024-10-23,2024,153.466,1365027.9,Siemens Ltd,5100200139,2024-11-06,1365017.9,Siemens India Ltd,0.0,0.0,-10.0,INR,1003,CC-IT-002,400400,NT45,159,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.8737,MEDIUM,94.6,35.0,21.8,23.8,9.0,5.0,AUTO-CLEAR
137,1000,1000,4500100137,0050,ZSER,Packaging Material,1000010,TATST,Manufacturing,5000100137,2025-01-05,2025,13.728,3161228.26,Tata Steel Limited,5100200142,2025-02-25,3161228.26,Tata Steel Limited,0.0,0.0,0.0,INR,1003,CC-FIN-001,400400,NT45,85,61-90 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,97.0,35.0,25.0,25.0,7.0,5.0,AUTO-CLEAR
139,1000,2000,4500100139,0030,NB,Network Support Services,1000005,LTI,IT Services,5000100139,2024-11-14,2024,95.91,53502.3,Larsen & Toubro Infotech Ltd,5100200144,2024-12-21,53502.31,L&T Infotech,0.0,0.0,0.01,USD,1001,CC-FIN-001,400500,NT45,137,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.4776,LOW,82.7,35.0,11.9,23.8,7.0,5.0,AUTO-CLEAR
140,1000,2000,4500100140,0050,NB,Raw Material Supply,1000011,JSWS,Manufacturing,5000100140,2024-10-13,2024,142.897,1935149.69,JSW Steel Ltd,5100200145,2024-11-16,1935149.68,JSW Steel Limited,0.0,0.0,-0.01,INR,1001,CC-HR-004,400200,NT30,169,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
141,1000,2000,4500100141,0050,ZNB,ERP Implementation Services,1000008,HEXW,IT Services,5000100141,2025-03-12,2025,169.987,9912639.25,Hexaware Technologies Ltd,5100200146,2025-03-31,9912639.26,Hexaware Tech Ltd,0.0,0.0,0.01,INR,1002,CC-IT-002,400300,NT15,19,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.7234,MEDIUM,90.8,35.0,18.1,23.8,9.0,5.0,AUTO-CLEAR
142,1000,1000,4500100142,0050,ZNB,Engineering Consultancy,1000016,BSCH,Engineering,5000100142,2024-10-12,2024,149.064,1819563.72,Bosch Limited,5100200147,2024-11-09,1819564.22,Robert Bosch,0.0,0.0,0.5,INR,1004,CC-HR-004,400300,NT15,170,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.5848,LOW,87.4,35.0,14.6,23.8,9.0,5.0,AUTO-CLEAR
143,1000,1000,4500100143,0020,NB,Steel Plates 10mm,1000010,TATST,Manufacturing,5000100143,2024-10-16,2024,117.719,4042149.44,Tata Steel Limited,5100200148,2024-11-03,4042148.44,Tata Steel,0.0,0.0,-1.0,INR,1004,CC-OPS-003,400200,NT30,166,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
144,1000,1000,4500100144,0020,ZNB,Control Panel Supply,1000017,HAVL,Electrical,5000100144,2025-03-04,2025,102.058,2758083.62,Havells India Ltd,5100200149,2025-04-27,2758084.12,Havells,0.0,0.0,0.5,INR,1004,CC-HR-004,400200,IMMED,27,0-30 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.8851,MEDIUM,92.9,35.0,22.1,23.8,7.0,5.0,AUTO-CLEAR
145,1000,1000,4500100145,0050,ZSER,Steel Plates 10mm,1000010,TATST,Manufacturing,5000100145,2025-01-22,2025,174.566,3399923.72,Tata Steel Limited,5100200150,2025-01-28,3399921.72,Tata Steel Ltd,0.0,0.0,-2.0,INR,1004,CC-MFG-005,400100,NT60,68,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
146,1000,2000,4500100146,0010,ZSER,Engineering Consultancy,1000014,SIEM,Engineering,5000100146,2025-02-18,2025,18.551,2105806.33,Siemens Ltd,5100200151,2025-04-19,2105806.83,Siemens India,0.0,0.0,0.5,INR,1002,CC-MFG-005,400400,NT30,41,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.8737,MEDIUM,92.6,35.0,21.8,23.8,7.0,5.0,AUTO-CLEAR
149,1000,1000,4500100149,0050,ZNB,Network Support Services,1000006,TECHM,IT Services,5000100149,2025-02-26,2025,31.027,436804.34,Tech Mahindra Limited,5100200154,2025-03-17,428068.25,TechMahindra,8736.09,0.0,-8736.09,INR,1001,CC-IT-002,400100,NT30,33,31-60 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,,0.75,MEDIUM,80.2,35.0,18.8,12.5,9.0,5.0,AUTO-CLEAR
150,1000,1000,4500100150,0030,ZSER,IT Consulting Services,1000005,LTI,IT Services,5000100150,2025-02-09,2025,134.657,1171776.89,Larsen & Toubro Infotech Ltd,5100200155,2025-02-10,1171776.89,Larsen & Toubro Infotech Ltd,0.0,0.0,0.0,INR,1003,CC-MFG-005,400300,NT15,50,31-60 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
151,1000,2000,4500100151,0010,ZSER,Network Support Services,1000004,HCLT,IT Services,5000100151,2024-11-14,2024,154.736,8314653.09,HCL Technologies Ltd,5100200156,2024-11-27,8314653.09,HCL Technologies Ltd,0.0,0.0,0.0,INR,1003,CC-OPS-003,400200,NT30,137,>90 Days (Critical),EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
154,1000,1000,4500100154,0030,NB,Control Panel Supply,1000019,ORCL,Software,5000100154,2024-10-09,2024,55.572,2113443.09,Oracle India Pvt Ltd,5100200159,2024-11-12,2113438.09,Oracle Ind,0.0,0.0,-5.0,INR,1001,CC-FIN-001,400100,IMMED,173,>90 Days (Critical),ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.8039,MEDIUM,90.8,35.0,20.1,23.8,7.0,5.0,AUTO-CLEAR
155,1000,2000,4500100155,0020,ZNB,Industrial Chemicals,1000012,ULTC,Manufacturing,5000100155,2025-01-23,2025,23.349,47852.47,Ultratech Cement Ltd,5100200160,2025-03-10,47852.97,UltraTech Cement Ltd,0.0,0.0,0.5,USD,1003,CC-HR-004,400400,NT60,67,61-90 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
156,1000,1000,4500100156,0030,ZSER,Cybersecurity Services,1000002,INFY,IT Services,5000100156,2025-01-02,2025,88.952,1745800.84,Infosys Limited,5100200161,2025-02-25,1745810.84,INFOSYS LIMITED,0.0,0.0,10.0,INR,1001,CC-IT-002,400200,IMMED,88,61-90 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
157,1000,2000,4500100157,0030,NB,Cloud Hosting Charges,1000008,HEXW,IT Services,5000100157,2025-03-18,2025,60.22,6281246.03,Hexaware Technologies Ltd,5100200162,2025-04-14,6281246.03,Hexaware Technologies Ltd,0.0,0.0,0.0,INR,1004,CC-FIN-001,400200,NT60,13,0-30 Days,EXACT MATCH,GR and IR amounts match exactly,,,,,1.0,HIGH,99.0,35.0,25.0,25.0,9.0,5.0,AUTO-CLEAR
161,1000,1000,4500100161,0030,NB,Software License Fee,1000008,HEXW,IT Services,5000100161,2025-01-31,2025,104.732,83241.23,Hexaware Technologies Ltd,5100200166,2025-02-22,83241.48,Hexaware Tech Ltd,0.0,0.0,0.25,USD,1001,CC-OPS-003,400400,NT45,59,31-60 Days,ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,0.7234,MEDIUM,90.8,35.0,18.1,23.8,9.0,5.0,AUTO-CLEAR
162,1000,1000,4500100162,0040,NB,Mechanical Parts,1000019,ORCL,Software,5000100162,2025-03-13,2025,81.659,914825.23,Oracle India Pvt Ltd,5100200167,2025-03-30,896528.73,Oracle India,18296.5,0.0,-18296.5,INR,1001,CC-OPS-003,400300,NT60,18,0-30 Days,TDS DEDUCTED,TDS @ 2.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,92.8,35.0,25.0,18.8,9.0,5.0,AUTO-CLEAR
163,1000,2000,4500100163,0010,NB,Mechanical Parts,1000020,SAPI,Software,5000100163,2025-03-06,2025,196.617,2131064.44,SAP India Pvt Ltd,5100200168,2025-03-17,2131062.44,SAP India Private Ltd,0.0,0.0,-2.0,INR,1003,CC-MFG-005,400400,NT15,25,0-30 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.6034,LOW,87.8,35.0,15.1,23.8,9.0,5.0,AUTO-CLEAR
165,1000,2000,4500100165,0030,ZNB,Software License Fee,1000005,LTI,IT Services,5000100165,2024-11-26,2024,80.284,47814.13,Larsen & Toubro Infotech Ltd,5100200170,2025-02-04,47814.13,L&T Infotech,0.0,0.0,0.0,GBP,1002,CC-HR-004,400100,NT45,125,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,0.4776,LOW,80.9,35.0,11.9,25.0,4.0,5.0,AUTO-CLEAR
166,1000,2000,4500100166,0020,ZNB,Cybersecurity Services,1000008,HEXW,IT Services,5000100166,2025-02-12,2025,55.407,993692.91,Hexaware Technologies Ltd,5100200171,2025-03-01,993687.91,Hexaware Tech Ltd,0.0,0.0,-5.0,INR,1002,CC-FIN-001,400300,NT60,47,31-60 Days,ROUNDING - RUPEE,"Rupee rounding, likely due to tax computation",,,,,0.7234,MEDIUM,90.8,35.0,18.1,23.8,9.0,5.0,AUTO-CLEAR
167,1000,2000,4500100167,0030,ZSER,ERP Implementation Services,1000007,MPHL,IT Services,5000100167,2024-12-05,2024,89.63,97701.12,Mphasis Limited,5100200172,2025-01-14,97701.37,Mphasis Corp,0.0,0.0,0.25,INR,1001,CC-HR-004,400100,IMMED,116,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,95.8,35.0,25.0,23.8,7.0,5.0,AUTO-CLEAR
168,1000,2000,4500100168,0030,ZSER,Mechanical Parts,1000016,BSCH,Engineering,5000100168,2024-11-28,2024,125.453,31855.19,Bosch Limited,5100200173,2025-02-13,31855.19,Bosch Ltd,0.0,0.0,0.0,USD,1002,CC-OPS-003,400300,NT60,123,>90 Days (Critical),TIMING DIFFERENCE,Invoice received after 60-day policy window,,,,,1.0,HIGH,94.0,35.0,25.0,25.0,4.0,5.0,AUTO-CLEAR
169,1000,2000,4500100169,0020,ZNB,Mechanical Parts,1000015,ABB,Engineering,5000100169,2024-12-05,2024,60.317,1481913.58,ABB India Limited,5100200174,2024-12-18,1467094.44,ABB India,14819.14,0.0,-14819.14,INR,1002,CC-HR-004,400100,IMMED,116,>90 Days (Critical),TDS DEDUCTED,TDS @ 1.0% deducted on payment (Sec 194C/194J),,,,,1.0,HIGH,92.8,35.0,25.0,18.8,9.0,5.0,AUTO-CLEAR
170,1000,2000,4500100170,0030,NB,Electrical Equipment,1000017,HAVL,Electrical,5000100170,2024-12-08,2024,180.961,69601.41,Havells India Ltd,5100200175,2024-12-10,69601.42,Havells India Limited,0.0,0.0,0.01,USD,1004,CC-OPS-003,400100,IMMED,113,>90 Days (Critical),ROUNDING - PAISE,Paise-level rounding difference from vendor,,,,,1.0,HIGH,97.8,35.0,25.0,23.8,9.0,5.0,AUTO-CLEAR
